ontime, MNN, MPN, duration, channel
0.00, 64.00, 62.00, 3.00, 0.00
0.00, 68.00, 64.00, 2.00, 0.00
0.50, 61.00, 60.00, 0.50, 1.00
1.00, 56.00, 57.00, 1.00, 1.00
2.00, 58.00, 58.00, 1.00, 1.00
2.00, 66.00, 63.00, 1.00, 0.00
3.00, 59.00, 59.00, 0.50, 1.00
3.00, 63.00, 61.00, 3.00, 0.00
3.00, 66.00, 63.00, 0.75, 0.00
3.50, 58.00, 58.00, 0.50, 1.00
3.75, 66.00, 63.00, 0.25, 0.00
4.00, 59.00, 59.00, 1.00, 1.00
4.00, 66.00, 63.00, 1.00, 0.00
5.00, 61.00, 60.00, 1.00, 1.00
5.00, 66.00, 63.00, 1.00, 0.00
6.00, 62.00, 61.00, 3.00, 0.00
6.00, 66.00, 63.00, 0.75, 0.00
6.50, 59.00, 59.00, 0.50, 1.00
6.75, 66.00, 63.00, 0.25, 0.00
7.00, 54.00, 56.00, 1.00, 1.00
7.00, 66.00, 63.00, 1.00, 0.00
8.00, 56.00, 57.00, 1.00, 1.00
8.00, 64.00, 62.00, 1.00, 0.00
9.00, 57.00, 58.00, 0.50, 1.00
9.00, 61.00, 60.00, 3.00, 0.00
9.00, 64.00, 62.00, 0.75, 0.00
9.50, 56.00, 57.00, 0.50, 1.00
9.75, 64.00, 62.00, 0.25, 0.00
10.00, 57.00, 58.00, 1.00, 1.00
10.00, 64.00, 62.00, 1.00, 0.00
11.00, 59.00, 59.00, 1.00, 1.00
11.00, 64.00, 62.00, 1.00, 0.00
12.00, 60.00, 60.00, 3.00, 0.00
12.00, 64.00, 62.00, 0.75, 0.00
12.50, 57.00, 58.00, 0.50, 1.00
12.75, 64.00, 62.00, 0.25, 0.00
13.00, 52.00, 55.00, 1.00, 1.00
13.00, 64.00, 62.00, 1.50, 0.00
14.00, 54.00, 56.00, 1.00, 1.00
14.50, 62.00, 61.00, 1.25, 0.00
15.00, 55.00, 57.00, 3.00, 1.00
15.00, 59.00, 59.00, 3.00, 0.00
15.75, 64.00, 62.00, 0.25, 0.00
16.00, 43.00, 50.00, 3.00, 1.00
16.00, 50.00, 54.00, 3.00, 1.00
16.00, 66.00, 63.00, 1.00, 0.00
17.00, 67.00, 64.00, 1.00, 0.00
18.00, 57.00, 58.00, 3.00, 1.00
18.00, 60.00, 60.00, 3.00, 0.00
18.00, 64.00, 62.00, 0.75, 0.00
18.75, 66.00, 63.00, 0.25, 0.00
19.00, 43.00, 50.00, 3.00, 1.00
19.00, 50.00, 54.00, 3.00, 1.00
19.00, 67.00, 64.00, 1.00, 0.00
20.00, 66.00, 63.00, 1.00, 0.00
20.00, 69.00, 65.00, 1.00, 0.00
21.00, 59.00, 59.00, 3.00, 1.00
21.00, 67.00, 64.00, 2.00, 0.00
21.00, 71.00, 66.00, 0.75, 0.00
21.75, 74.00, 68.00, 0.25, 0.00
22.00, 43.00, 50.00, 6.00, 1.00
22.00, 50.00, 54.00, 6.00, 1.00
22.00, 74.00, 68.00, 2.00, 0.00
23.00, 62.00, 61.00, 1.00, 0.00
24.00, 60.00, 60.00, 3.00, 0.00
24.00, 64.00, 62.00, 0.75, 0.00
24.50, 57.00, 58.00, 0.50, 1.00
24.75, 64.00, 62.00, 0.25, 0.00
25.00, 52.00, 55.00, 1.00, 1.00
25.00, 64.00, 62.00, 1.50, 0.00
26.00, 54.00, 56.00, 1.00, 1.00
26.50, 62.00, 61.00, 1.25, 0.00
27.00, 55.00, 57.00, 3.00, 1.00
27.00, 59.00, 59.00, 3.00, 0.00
27.75, 64.00, 62.00, 0.25, 0.00
28.00, 43.00, 50.00, 3.00, 1.00
28.00, 50.00, 54.00, 3.00, 1.00
28.00, 66.00, 63.00, 1.00, 0.00
29.00, 67.00, 64.00, 1.00, 0.00
30.00, 57.00, 58.00, 3.00, 1.00
30.00, 60.00, 60.00, 3.00, 0.00
30.00, 64.00, 62.00, 0.75, 0.00
30.75, 66.00, 63.00, 0.25, 0.00
31.00, 43.00, 50.00, 3.00, 1.00
31.00, 50.00, 54.00, 3.00, 1.00
31.00, 67.00, 64.00, 1.00, 0.00
32.00, 66.00, 63.00, 1.00, 0.00
32.00, 69.00, 65.00, 1.00, 0.00
33.00, 59.00, 59.00, 1.00, 1.00
33.00, 65.00, 62.00, 2.00, 0.00
33.00, 71.00, 66.00, 6.00, 0.00
33.75, 73.00, 67.00, 0.25, 0.00
34.00, 43.00, 50.00, 1.00, 1.00
34.00, 74.00, 67.00, 1.00, 0.00
35.00, 42.00, 49.00, 2.00, 1.00
35.00, 66.00, 63.00, 1.00, 0.00
35.00, 75.00, 68.00, 1.00, 0.00
36.00, 30.00, 42.00, 1.00, 1.00
36.00, 64.00, 62.00, 1.00, 0.00
36.00, 68.00, 64.00, 1.00, 0.00
36.00, 76.00, 69.00, 0.50, 0.00
36.50, 73.00, 67.00, 0.50, 0.00
37.00, 54.00, 56.00, 1.50, 1.00
37.00, 64.00, 62.00, 2.00, 0.00
37.00, 68.00, 64.00, 1.00, 0.00
38.00, 70.00, 65.00, 1.00, 0.00
38.50, 54.00, 56.00, 0.50, 1.00
39.00, 54.00, 56.00, 2.00, 1.00
39.00, 63.00, 61.00, 1.00, 0.00
39.00, 66.00, 63.00, 0.50, 0.00
