ontime, MNN, MPN, duration, channel
0.00, 48.00, 53.00, 1.00, 1.00
0.50, 60.00, 60.00, 0.50, 0.00
1.00, 63.00, 62.00, 0.50, 0.00
1.50, 67.00, 64.00, 0.50, 0.00
2.00, 72.00, 67.00, 0.50, 0.00
2.50, 75.00, 69.00, 0.50, 0.00
3.00, 79.00, 71.00, 0.50, 0.00
3.50, 84.00, 74.00, 0.50, 0.00
4.00, 79.00, 71.00, 0.50, 0.00
4.50, 75.00, 69.00, 0.50, 0.00
5.00, 72.00, 67.00, 0.50, 0.00
5.50, 67.00, 64.00, 0.50, 0.00
6.00, 60.00, 60.00, 1.00, 0.00
6.50, 48.00, 53.00, 0.50, 1.00
7.00, 51.00, 55.00, 0.50, 1.00
7.50, 55.00, 57.00, 0.50, 1.00
8.00, 60.00, 60.00, 0.50, 1.00
8.50, 63.00, 62.00, 0.50, 1.00
9.00, 67.00, 64.00, 0.50, 1.00
9.50, 72.00, 67.00, 0.50, 1.00
10.00, 67.00, 64.00, 0.50, 1.00
10.50, 63.00, 62.00, 0.50, 1.00
11.00, 60.00, 60.00, 0.50, 1.00
11.50, 55.00, 57.00, 0.50, 1.00
12.00, 48.00, 53.00, 1.00, 1.00
12.25, 79.00, 71.00, 0.25, 0.00
12.50, 81.00, 72.00, 0.25, 0.00
12.75, 83.00, 73.00, 0.25, 0.00
13.00, 67.00, 64.00, 1.00, 1.00
13.00, 75.00, 69.00, 0.50, 0.00
13.00, 84.00, 74.00, 0.50, 0.00
13.50, 74.00, 68.00, 0.50, 0.00
13.50, 83.00, 73.00, 0.50, 0.00
14.00, 67.00, 64.00, 1.00, 1.00
14.00, 75.00, 69.00, 0.50, 0.00
14.00, 84.00, 74.00, 0.50, 0.00
14.50, 74.00, 68.00, 0.50, 0.00
14.50, 83.00, 73.00, 0.50, 0.00
15.00, 75.00, 69.00, 1.00, 0.00
15.00, 84.00, 74.00, 1.00, 0.00
15.25, 67.00, 64.00, 0.25, 1.00
15.50, 69.00, 65.00, 0.25, 1.00
15.75, 71.00, 66.00, 0.25, 1.00
16.00, 63.00, 62.00, 0.50, 1.00
16.00, 72.00, 67.00, 0.50, 1.00
16.00, 79.00, 71.00, 1.00, 0.00
16.50, 62.00, 61.00, 0.50, 1.00
16.50, 71.00, 66.00, 0.50, 1.00
17.00, 63.00, 62.00, 0.50, 1.00
17.00, 72.00, 67.00, 0.50, 1.00
17.00, 79.00, 71.00, 1.00, 0.00
17.50, 62.00, 61.00, 0.50, 1.00
17.50, 71.00, 66.00, 0.50, 1.00
18.00, 63.00, 62.00, 1.00, 1.00
18.00, 72.00, 67.00, 1.00, 1.00
18.25, 79.00, 71.00, 0.25, 0.00
18.50, 81.00, 72.00, 0.25, 0.00
18.75, 83.00, 73.00, 0.25, 0.00
19.00, 67.00, 64.00, 1.00, 1.00
19.00, 75.00, 69.00, 0.50, 0.00
19.00, 84.00, 74.00, 0.50, 0.00
19.50, 74.00, 68.00, 0.50, 0.00
19.50, 83.00, 73.00, 0.50, 0.00
20.00, 67.00, 64.00, 1.00, 1.00
20.00, 75.00, 69.00, 0.50, 0.00
20.00, 84.00, 74.00, 0.50, 0.00
20.50, 74.00, 68.00, 0.50, 0.00
20.50, 83.00, 73.00, 0.50, 0.00
21.00, 75.00, 69.00, 1.00, 0.00
21.00, 84.00, 74.00, 1.00, 0.00
21.25, 67.00, 64.00, 0.25, 1.00
21.50, 69.00, 65.00, 0.25, 1.00
21.75, 71.00, 66.00, 0.25, 1.00
22.00, 63.00, 62.00, 0.50, 1.00
22.00, 72.00, 67.00, 0.50, 1.00
22.00, 79.00, 71.00, 1.00, 0.00
22.50, 62.00, 61.00, 0.50, 1.00
22.50, 71.00, 66.00, 0.50, 1.00
23.00, 63.00, 62.00, 0.50, 1.00
23.00, 72.00, 67.00, 0.50, 1.00
23.00, 79.00, 71.00, 1.00, 0.00
23.50, 62.00, 61.00, 0.50, 1.00
23.50, 71.00, 66.00, 0.50, 1.00
24.00, 63.00, 62.00, 1.00, 1.00
24.00, 72.00, 67.00, 1.00, 1.00
24.50, 79.00, 71.00, 0.50, 0.00
25.00, 84.00, 74.00, 0.50, 0.00
25.50, 75.00, 69.00, 0.50, 1.00
25.75, 79.00, 71.00, 0.25, 0.00
26.00, 77.00, 70.00, 0.50, 1.00
26.25, 80.00, 72.00, 0.25, 0.00
26.50, 74.00, 68.00, 0.50, 1.00
26.75, 77.00, 70.00, 0.25, 0.00
27.00, 75.00, 69.00, 0.50, 1.00
27.25, 79.00, 71.00, 0.25, 0.00
27.50, 71.00, 66.00, 0.50, 1.00
27.75, 74.00, 68.00, 0.25, 0.00
28.00, 72.00, 67.00, 0.50, 1.00
28.25, 75.00, 69.00, 0.25, 0.00
28.50, 67.00, 64.00, 0.50, 1.00
28.75, 71.00, 66.00, 0.25, 0.00
29.00, 68.00, 65.00, 0.50, 1.00
29.25, 72.00, 67.00, 0.25, 0.00
29.50, 63.00, 62.00, 0.50, 1.00
29.75, 67.00, 64.00, 0.25, 0.00
30.00, 65.00, 63.00, 0.50, 1.00
30.25, 68.00, 65.00, 0.25, 0.00
30.50, 62.00, 61.00, 0.50, 1.00
30.75, 65.00, 63.00, 0.25, 0.00
31.00, 63.00, 62.00, 0.50, 1.00
31.25, 67.00, 64.00, 0.25, 0.00
31.50, 59.00, 59.00, 0.50, 1.00
31.75, 62.00, 61.00, 0.25, 0.00
32.00, 60.00, 60.00, 0.50, 1.00
32.25, 63.00, 62.00, 0.25, 0.00
32.50, 53.00, 56.00, 0.50, 1.00
32.75, 65.00, 63.00, 0.25, 0.00
33.00, 43.00, 50.00, 0.50, 1.00
33.25, 62.00, 61.00, 0.25, 0.00
33.50, 64.00, 62.00, 0.25, 0.00
33.75, 66.00, 63.00, 0.25, 0.00
34.00, 59.00, 59.00, 0.50, 0.00
34.00, 67.00, 64.00, 0.50, 0.00
34.50, 57.00, 58.00, 0.50, 0.00
34.50, 66.00, 63.00, 0.50, 0.00
35.00, 59.00, 59.00, 0.50, 0.00
35.00, 67.00, 64.00, 0.50, 0.00
35.50, 57.00, 58.00, 0.50, 0.00
35.50, 66.00, 63.00, 0.50, 0.00
36.00, 59.00, 59.00, 0.50, 0.00
36.00, 67.00, 64.00, 0.50, 0.00
36.25, 50.00, 54.00, 0.25, 1.00
36.50, 52.00, 55.00, 0.25, 1.00
36.75, 54.00, 56.00, 0.25, 1.00
37.00, 47.00, 52.00, 0.50, 1.00
37.00, 55.00, 57.00, 0.50, 1.00
37.00, 62.00, 61.00, 1.00, 0.00
37.50, 45.00, 51.00, 0.50, 1.00
37.50, 54.00, 56.00, 0.50, 1.00
38.00, 47.00, 52.00, 0.50, 1.00
38.00, 55.00, 57.00, 0.50, 1.00
38.00, 62.00, 61.00, 1.00, 0.00
38.50, 45.00, 51.00, 0.50, 1.00
38.50, 54.00, 56.00, 0.50, 1.00
39.00, 47.00, 52.00, 0.50, 1.00
39.00, 55.00, 57.00, 0.50, 1.00
39.50, 79.00, 71.00, 0.50, 0.00
40.00, 60.00, 60.00, 1.00, 1.00
40.00, 68.00, 65.00, 0.50, 0.00
40.00, 77.00, 70.00, 0.50, 0.00
40.50, 67.00, 64.00, 0.50, 0.00
40.50, 76.00, 69.00, 0.50, 0.00
41.00, 60.00, 60.00, 1.00, 1.00
41.00, 68.00, 65.00, 0.50, 0.00
41.00, 77.00, 70.00, 0.50, 0.00
41.50, 67.00, 64.00, 0.50, 0.00
41.50, 76.00, 69.00, 0.50, 0.00
42.00, 68.00, 65.00, 0.50, 0.00
42.00, 77.00, 70.00, 0.50, 0.00
42.25, 60.00, 60.00, 0.25, 1.00
42.50, 62.00, 61.00, 0.25, 1.00
42.75, 64.00, 62.00, 0.25, 1.00
43.00, 56.00, 58.00, 0.50, 1.00
43.00, 65.00, 63.00, 0.50, 1.00
43.00, 72.00, 67.00, 1.00, 0.00
43.50, 55.00, 57.00, 0.50, 1.00
43.50, 64.00, 62.00, 0.50, 1.00
44.00, 56.00, 58.00, 0.50, 1.00
44.00, 65.00, 63.00, 0.50, 1.00
44.00, 72.00, 67.00, 1.00, 0.00
44.50, 55.00, 57.00, 0.50, 1.00
44.50, 64.00, 62.00, 0.50, 1.00
